model,train_accuracy,test_accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc
RandomForest_Tuned,0.9033613445378151,0.8697478991596639,0.8647962925653612,0.8697478991596639,0.8649669348735352,0.9222093274622282
RandomForest,0.9999231399877024,0.8570403771264603,0.8521585002152183,0.8570403771264603,0.8535643841512051,0.9082055258247418
LinearSVM,0.8528386964541914,0.8565279770444764,0.8504885384147778,0.8565279770444764,0.8513600304383154,0.9093828095296101
LogisticRegression,0.8526849764295962,0.8556056568969052,0.8498357061124941,0.8556056568969052,0.8510293154558263,0.9097629040652927
DummyClassifier,0.7605810616929699,0.760606681697069,0.5785225242422265,0.760606681697069,0.6571854239296446,0.5
